occ1990dd,occ1990dd_titles
4,"Chief Executives, Public Administrators, and Legislators"
7,Financial Managers
8,Human Resources and Labor Relations Managers
13,"Managers and Specialists In Marketing, Advert., PR"
14,Managers In Education and Related Fields
15,Managers Of Medicine and Health Occupations
18,Managers Of Properties and Real Estate
19,Funeral Directors
22,"Managers and Administrators, n.e.c."
23,Accountants and Auditors
24,Insurance Underwriters
25,Other Financial Specialists
26,Management Analysts
27,"Personnel, HR, Training, and Labor Rel. Specialists"
28,Purchasing Agents and Buyers Of Farm Products
29,"Buyers, Wholesale and Retail Trade"
33,"Purchasing Managers, Agents, and Buyers, n.e.c."
34,Business and Promotion Agents
35,Construction Inspectors
36,"Inspectors and Compliance Officers, Outside"
37,Manatgemtient Support Occupations
43,Architects
44,Aerospace Engineers
45,Metallurgical and Materials Engineers
47,"Petroleum, Mining, and Geological Engineers"
48,Chemical Engineers
53,Civil Engineers
55,Electrical Engineers
56,Industrial Engineers
57,Mechanical Engineers
59,"Engineers and Other Professionals, n.e.c."
64,Computer Systems Analysts and Computer Scientists
65,Operations and Systems Researchers and Analysts
66,Actuaries
68,Mathematicians and Statisticians
69,Physicists and Astronomists
73,Chemists
74,Atmospheric and Space Scientists
75,Geologists
76,"Physical Scientists, n.e.c."
77,Agricultural and Food Scientists
78,Biological Scientists
79,Foresters and Conservation Scientists
83,Medical Scientists
84,Physicians
85,Dentists
86,Veterinarians
87,Optometrists
88,Podiatrists
89,Other Health and Therapy Occupations
95,Registered Nurses
96,Pharmacists
97,Dieticians and Nutritionists
98,Respiratory Therapists
99,Occupational Therapists
103,Physical Therapists
104,Speech Therapists
105,"Therapists, n.e.c."
106,Physicians' Assistants
154,"Subject Instructors, College"
155,Kindergarten and Earlier School Teachers
156,Primary School Teachers
157,Secondary School Teachers
158,Special Education Teachers
159,"Teachers, n.e.c."
163,Vocational and Educational Counselors
164,Librarians
165,Archivists and Curators
166,"Economists, Market and Survey Researchers"
167,Psychologists
169,"Social Scientists and Sociologists, n.e.c."
173,Urban and Regional Planners
174,Social Workers
176,Clergy and Religious Workers
177,Welfare Service Workers
178,Lawyers and Judges
183,Writers and Authors
184,Technical Writers
185,Designers
186,Musicians and Composers
187,"Actors, Directors, and Producers"
188,"Painters, Sculptors, Craft-Artists, and Print-Makers"
189,Photographers
193,Dancers
194,Art/Entertainment Performers and Related Occs
195,Editors and Reporters
198,Announcers
199,"Athletes, Sports Instructors, and Officials"
203,Clinical Laboratory Technologies and Technicians
204,Dental Hygienists
205,Health Record Technologists and Technicians
206,Radiologic Technologists and Technicians
207,Licensed Practical Nurses
208,"Health Technologists and Technicians, n.e.c."
214,Engineering Technicians
217,Drafters
218,"Surveryors, Cartographers, Mapping Scientists/Techs"
223,Biological Technicians
224,Chemical Technicians
225,Other Science Technicians
226,Airplane Pilots and Navigators
227,Air Traffic Controllers
228,Broadcast  Equipment Operators
229,Computer Software Developers
233,Programmers Of Numerically Controlled Machine Tools
234,Legal Assistants and Paralegals
235,"Technicians, n.e.c."
243,Sales Supervisors and Proprietors
253,Insurance Sales Occupations
254,Real Estate Sales Occupations
255,Financial Service Sales Occupations
256,Advertising and Related Sales Jobs
258,Sales Engineers
274,"Salespersons, n.e.c."
275,Retail Salespersons and Sales Clerks
276,Cashiers
277,"Door-To-Door Sales, Street Sales, and News Vendors"
283,"Sales Demonstrators, Promoters, and Models"
303,Office Supervisors
308,Computer and Peripheral Equipment Operators
313,Secretaries and Stenographers
315,Typists
316,"Interviewers, Enumerators, and Surveyors"
317,Hotel Clerks
318,Transportation Ticket and Reservation Agents
319,Receptionists and Other Information Clerks
326,Correspondence and Order Clerks
328,"Human Resources Clerks, Excl Payroll and Timekeeping"
329,Library Assistants
335,File Clerks
336,Records Clerks
337,Bookkeepers and Accounting and Auditing Clerks
338,Payroll and Timekeeping Clerks
344,Billing Clerks and Related Financial Records Processing
346,Mail and Paper Handlers
347,"Office Machine Operators, n.e.c."
348,Telephone Operators
349,Other Telecom Operators
354,"Postal Clerks, Exluding Mail Carriers"
355,Mail Carriers For Postal Service
356,"Mail Clerks, Outside Of Post Office"
357,Messengers
359,Dispatchers
361,"Inspectors, n.e.c."
364,Shipping and Receiving Clerks
365,Stock and Inventory Clerks
366,Meter Readers
368,"Weighers, Measurers, and Checkers"
373,"Material Recording, Sched., Prod., Plan., Expediting Cl."
375,"Insurance Adjusters, Examiners, and Investigators"
376,"Customer Service Reps, Invest., Adjusters, Excl. Insur."
377,"Eligibility Clerks For Government Prog., Social Welfare"
378,Bill and Account Collectors
379,General Office Clerks
383,Bank Tellers
384,Proofreaders
385,Data Entry Keyers
386,Statistical Clerks
387,Teacher'S Aides
389,Administrative Support Jobs n.e.c.
405,"Housekeepers, Maids, Butlers, and Cleaners , -"
408,Laundry and Dry Cleaning Workers
415,Supervisors Of Guards
417,"Fire Fighting, Fire Prevention, and Fire Inspection Occs"
418,"Police and Detectives, Public Service"
423,"Sheriffs, Bailiffs, Correctional Institution Officers"
425,Crossing Guards
426,"Guards and Police, Except Public Service"
427,"Protective Service, n.e.c."
433,Supervisors Of Food Preparation and Service
434,Bartenders
435,Waiters and Waitresses
436,Cooks
439,Food Preparation Workers
444,Miscellanious Food Preparation and Service Workers
445,Dental Assistants
447,Health and Nursing Aides
448,Supervisors Of Cleaning and Building Service
450,"Superv. Of Landscaping, Lawn Service, Groundskeeping"
451,Gardeners and Groundskeepers
453,Janitors
455,Pest Control Occupations
457,Barbers
458,Hairdressers and Cosmetologists
459,Recreation Facility Attendants
461,Guides
462,Ushers
464,"Baggage Porters, Bellhops and Concierges"
466,Recreation and Fitness Workers
467,Motion Picture Projectionists
468,Child Care Workers
469,"Personal Service Occupations, N.E.C"
470,"Supervisors Of Personal Service Jobs, N.E.C"
471,Public Transportation Attendants and Inspectors
472,"Animal Caretakers, Except Farm"
473,Farmers (Owners and Tenants)
475,Farm Managers
479,"Farm Workers, Incl. Nursery Farming"
488,Graders and Sorters Of Agricultural Products
489,Inspectors Of Agricultural Products
496,"Timber, Logging, and Forestry Workers"
498,"Fishers, Marine Life Cultivators, Hunters, and Kindred"
503,Supervisors Of Mechanics and Repairers
505,Automobile Mechanics and Repairers
507,"Bus, Truck, and Stationary Engine Mechanics"
508,Aircraft Mechanics
509,Small Engine Repairers
514,Auto Body Repairers
516,Heavy Equipement and Farm Equipment Mechanics
518,Industrial Machinery Repairers
519,Machinery Maintenance Occupations
523,Repairers Of Industrial Electrical Equipment
525,Repairers Of Data Processing Equipment
526,Repairers Of Household Appliances and Power Tools
527,Telecom and Line Installers and Repairers
533,"Repairers Of Electrical Equipment, n.e.c."
534,"Heating, Air Conditioning, and Refrigeration Mechanics"
535,"Precision Makers, Repairers, and Smiths"
536,Locksmiths and Safe Repairers
539,Repairers Of Mechanical Controls and Valves
543,Elevator Installers and Repairers
544,Millwrights
549,"Mechanics and Repairers, n.e.c."
558,Supervisors Of Construction Work
563,"Masons, Tilers, and Carpet Installers"
567,Carpenters
573,Drywall Installers
575,Electricians
577,Electric Power Installers and Repairers
579,"Painters, Construction and Maintenance"
583,Paperhangers
584,Plasterers
585,"Plumbers, Pipe Fitters, and Steamfitters"
588,Concrete and Cement Workers
589,Glaziers
593,Insulation Workers
594,"Paving, Surfacing, and Tamping Equipment Operators"
595,Roofers and Slaters
597,Structural Metal Workers
598,Drillers Of Earth
599,Misc. Construction and Related Occupations
614,Drillers Of Oil Wells
615,Explosives Workers
616,Miners
617,Other Mining Occupations
628,Production Supervisors Or Foremen
634,Tool and Die Makers and Die Setters
637,Machinists
643,Boilermakers
644,Precision Grinders and Fitters
645,Patternmakers and Model Makers
649,Engravers
653,Other Metal and Plastic Workers
657,Cabinetmakers and Bench Carpeters
658,"Furniture/Wood Finishers, Other Prec. Wood Workers"
666,"Dressmakers, Seamstresses, and Tailors"
668,Upholsterers
669,"Shoemakers, Other Prec. Apparel and Fabric Workers"
675,"Hand Molders and Shapers, Except Jewelers"
677,Optical Goods Workers
678,Dental Laboratory and Medical Applicance Technicians
679,Bookbinders
684,Other Precision and Craft Workers
686,Butchers and Meat Cutters
687,Bakers
688,Batch Food Makers
694,Water and Sewage Treatment Plant Operators
695,Power Plant Operators
696,"Plant and System Operators, Stationary Engineers"
699,Other Plant and System Operators
703,"Lathe, Milling, and Turning Machine Operatives"
706,Punching and Stamping Press Operatives
707,"Rollers, Roll Hands, and Finishers Of Metal"
708,Drilling and Boring Machine Operators
709,"Grinding, Abrading, Buffing, and Polishing Workers"
713,Forge and Hammer Operators
719,Molders and Casting Machine Operators
723,Metal Platers
724,Heat Treating Equipment Operators
727,Sawing Machine Operators and Sawyers
729,"Nail, Tacking, Shaping and Joining Machine Operators (Wood)"
733,Other Woodworking Machine Operators
734,"Printing Machine Operators, n.e.c."
736,Typesetters and Compositors
738,Winding and Twisting Textile and Apparel Operatives
739,"Knitters, Loopers, and Toppers Textile Operatives"
743,Textile Cutting and Dyeing Machine Operators
744,Textile Sewing Machine Operators
745,Shoemaking Machine Operators
747,Clothing Pressing Machine Operators
749,Miscellanious Textile Machine Operators
753,Cementing and Gluing Machne Operators
754,"Packers, Fillers, and Wrappers"
755,Extruding and Forming Machine Operators
756,Mixing and Blending Machine Operators
757,"Separating, Filtering, and Clarifying Machine Operators"
763,Food Roasting and Baking Machine Operators
764,"Washing, Cleaning, and Pickling Machine Operators"
765,Paper Folding Machine Operators
766,"Furnance, Kiln, and Oven Operators, Apart From Food"
769,"Slicing, Cutting, Crushing and Grinding Machine"
774,Phototgraphic Process Workers
779,"Machine Operators, n.e.c."
783,"Welders, Solderers, and Metal Cutters"
785,Assemblers Of Electrical Equipment
789,Painting and Decoration Occupations
