occ,occ1990dd,year
0,23,1950
1,187,1950
2,226,1950
3,43,1950
4,188,1950
5,199,1950
6,183,1950
7,73,1950
8,89,1950
9,176,1950
10,14,1950
12,154,1950
13,154,1950
14,154,1950
15,154,1950
16,154,1950
17,154,1950
18,154,1950
19,154,1950
23,154,1950
24,154,1950
25,154,1950
26,154,1950
27,154,1950
28,154,1950
29,154,1950
31,193,1950
32,85,1950
33,185,1950
34,97,1950
35,217,1950
36,195,1950
41,44,1950
42,48,1950
43,53,1950
44,55,1950
45,56,1950
46,57,1950
47,45,1950
48,47,1950
49,59,1950
51,194,1950
52,169,1950
53,79,1950
54,19,1950
55,178,1950
56,164,1950
57,186,1950
58,95,1950
59,95,1950
61,77,1950
62,78,1950
63,75,1950
67,68,1950
68,69,1950
69,76,1950
70,87,1950
71,84,1950
72,328,1950
73,96,1950
74,189,1950
75,84,1950
76,228,1950
77,466,1950
78,176,1950
79,174,1950
81,166,1950
82,167,1950
83,68,1950
84,169,1950
91,199,1950
92,218,1950
93,156,1950
94,203,1950
95,225,1950
96,235,1950
97,105,1950
98,86,1950
99,59,1950
100,473,1950
123,475,1950
200,29,1950
201,28,1950
203,823,1950
204,25,1950
205,243,1950
210,36,1950
230,18,1950
240,829,1950
250,4,1950
260,22,1950
270,22,1950
280,33,1950
290,22,1950
300,274,1950
301,329,1950
302,445,1950
304,464,1950
305,383,1950
310,337,1950
320,276,1950
321,378,1950
322,359,1950
325,356,1950
335,355,1950
340,357,1950
341,347,1950
342,364,1950
350,313,1950
360,357,1950
365,349,1950
370,348,1950
380,318,1950
390,389,1950
400,256,1950
410,274,1950
420,283,1950
430,274,1950
450,375,1950
460,277,1950
470,254,1950
480,255,1950
490,274,1950
500,687,1950
501,713,1950
502,679,1950
503,643,1950
504,563,1950
505,657,1950
510,567,1950
511,588,1950
512,736,1950
513,848,1950
514,283,1950
515,575,1950
520,734,1950
521,649,1950
522,853,1950
523,628,1950
524,713,1950
525,669,1950
530,589,1950
531,724,1950
532,496,1950
533,389,1950
534,535,1950
535,703,1950
540,527,1950
541,824,1950
542,824,1950
543,519,1950
544,637,1950
545,508,1950
550,505,1950
551,533,1950
552,523,1950
553,549,1950
554,549,1950
555,769,1950
560,544,1950
561,719,1950
562,467,1950
563,677,1950
564,579,1950
565,583,1950
570,645,1950
571,734,1950
572,535,1950
573,584,1950
574,585,1950
575,734,1950
580,707,1950
581,595,1950
582,745,1950
583,696,1950
584,709,1950
585,597,1950
590,666,1950
591,653,1950
592,634,1950
593,668,1950
594,684,1950
595,905,1950
600,505,1950
601,563,1950
602,567,1950
603,575,1950
604,637,1950
605,549,1950
610,585,1950
611,599,1950
612,653,1950
613,734,1950
614,549,1950
615,549,1950
620,593,1950
621,885,1950
622,615,1950
623,834,1950
624,825,1950
625,808,1950
630,218,1950
631,823,1950
632,804,1950
633,666,1950
634,756,1950
635,709,1950
640,488,1950
641,766,1950
642,766,1950
643,408,1950
644,686,1950
645,669,1950
650,616,1950
660,859,1950
661,824,1950
662,519,1950
670,779,1950
671,774,1950
672,695,1950
673,829,1950
674,727,1950
675,749,1950
680,766,1950
681,825,1950
682,809,1950
683,804,1950
684,739,1950
685,783,1950
690,779,1950
693,999,1950
700,405,1950
710,408,1950
720,469,1950
730,447,1950
731,469,1950
732,459,1950
740,458,1950
750,434,1950
751,405,1950
752,405,1950
753,405,1950
754,436,1950
760,444,1950
761,469,1950
762,417,1950
763,426,1950
764,405,1950
770,453,1950
771,423,1950
772,89,1950
773,418,1950
780,464,1950
781,207,1950
782,423,1950
783,462,1950
784,435,1950
785,425,1950
790,469,1950
810,479,1950
820,479,1950
830,479,1950
840,479,1950
910,498,1950
920,887,1950
930,451,1950
940,859,1950
950,496,1950
960,804,1950
970,889,1950
998,999,1950
999,999,1950
0,23,1960
10,187,1960
12,226,1960
13,43,1960
14,188,1960
15,199,1960
20,183,1960
21,73,1960
22,89,1960
23,176,1960
30,14,1960
31,154,1960
32,154,1960
34,154,1960
35,154,1960
40,154,1960
41,154,1960
42,154,1960
43,154,1960
45,154,1960
50,154,1960
51,154,1960
52,154,1960
53,154,1960
54,154,1960
60,154,1960
70,193,1960
71,85,1960
72,185,1960
73,97,1960
74,217,1960
75,195,1960
80,44,1960
81,48,1960
82,53,1960
83,55,1960
84,56,1960
85,57,1960
90,45,1960
91,47,1960
92,258,1960
93,59,1960
101,194,1960
102,169,1960
103,79,1960
104,19,1960
105,178,1960
111,164,1960
120,186,1960
130,77,1960
131,78,1960
134,75,1960
135,68,1960
140,69,1960
145,76,1960
150,95,1960
151,95,1960
152,87,1960
153,84,1960
154,328,1960
160,96,1960
161,189,1960
162,84,1960
163,13,1960
164,228,1960
165,466,1960
170,176,1960
171,174,1960
172,166,1960
173,167,1960
174,68,1960
175,169,1960
180,199,1960
181,218,1960
182,156,1960
183,157,1960
184,159,1960
185,203,1960
190,214,1960
191,225,1960
192,235,1960
193,105,1960
194,86,1960
195,59,1960
200,473,1960
222,475,1960
250,29,1960
251,28,1960
252,823,1960
253,25,1960
254,243,1960
260,36,1960
262,18,1960
265,829,1960
270,4,1960
275,22,1960
280,22,1960
285,33,1960
290,22,1960
301,274,1960
302,329,1960
303,445,1960
304,464,1960
305,383,1960
310,337,1960
312,276,1960
313,378,1960
314,359,1960
315,356,1960
320,335,1960
321,375,1960
323,355,1960
324,357,1960
325,347,1960
333,338,1960
340,354,1960
341,319,1960
342,313,1960
343,364,1960
345,313,1960
350,365,1960
351,357,1960
352,349,1960
353,348,1960
354,318,1960
360,315,1960
370,389,1960
380,256,1960
381,274,1960
382,283,1960
383,274,1960
385,253,1960
390,277,1960
393,254,1960
394,274,1960
395,255,1960
401,687,1960
402,713,1960
403,643,1960
404,679,1960
405,563,1960
410,657,1960
411,567,1960
413,588,1960
414,736,1960
415,848,1960
420,469,1960
421,575,1960
423,734,1960
424,649,1960
425,853,1960
430,628,1960
431,713,1960
432,669,1960
434,589,1960
435,724,1960
444,496,1960
450,389,1960
451,535,1960
452,703,1960
453,527,1960
454,824,1960
460,824,1960
461,519,1960
465,637,1960
470,534,1960
471,508,1960
472,505,1960
473,533,1960
474,523,1960
475,549,1960
480,549,1960
490,769,1960
491,544,1960
492,719,1960
493,467,1960
494,677,1960
495,579,1960
501,583,1960
502,645,1960
503,734,1960
504,535,1960
505,584,1960
510,585,1960
512,734,1960
513,707,1960
514,595,1960
515,745,1960
520,696,1960
521,709,1960
523,597,1960
524,666,1960
525,653,1960
530,634,1960
535,668,1960
545,684,1960
555,905,1960
601,505,1960
602,563,1960
603,567,1960
604,575,1960
605,637,1960
610,549,1960
612,585,1960
613,599,1960
614,653,1960
615,734,1960
620,549,1960
621,549,1960
630,593,1960
631,785,1960
632,885,1960
634,615,1960
635,834,1960
640,825,1960
641,808,1960
642,218,1960
643,799,1960
645,823,1960
650,804,1960
651,666,1960
652,756,1960
653,709,1960
654,488,1960
670,766,1960
671,799,1960
672,766,1960
673,739,1960
674,408,1960
675,686,1960
680,669,1960
685,616,1960
690,859,1960
691,824,1960
692,519,1960
693,754,1960
694,779,1960
695,774,1960
701,695,1960
703,829,1960
704,727,1960
705,669,1960
710,749,1960
712,766,1960
713,825,1960
714,809,1960
715,804,1960
720,739,1960
721,783,1960
775,779,1960
801,468,1960
802,405,1960
803,408,1960
804,469,1960
810,447,1960
812,469,1960
813,459,1960
814,457,1960
815,434,1960
820,405,1960
821,405,1960
823,405,1960
824,405,1960
825,436,1960
830,444,1960
831,469,1960
832,405,1960
834,453,1960
835,444,1960
840,89,1960
841,464,1960
842,207,1960
843,458,1960
850,417,1960
851,426,1960
852,423,1960
853,418,1960
854,423,1960
860,425,1960
874,462,1960
875,435,1960
890,469,1960
901,479,1960
902,479,1960
903,479,1960
905,479,1960
960,567,1960
962,498,1960
963,887,1960
964,451,1960
965,859,1960
970,496,1960
971,804,1960
972,804,1960
973,889,1960
985,889,1960
990,999,1960
995,999,1960
0,999,1970
1,23,1970
2,43,1970
3,229,1970
4,64,1970
5,64,1970
6,44,1970
10,48,1970
11,53,1970
12,55,1970
13,56,1970
14,57,1970
15,45,1970
20,59,1970
21,47,1970
22,258,1970
23,59,1970
24,169,1970
25,79,1970
26,169,1970
30,178,1970
31,178,1970
32,164,1970
33,165,1970
34,66,1970
35,68,1970
36,68,1970
42,77,1970
43,74,1970
44,78,1970
45,73,1970
51,75,1970
52,78,1970
53,69,1970
54,76,1970
55,65,1970
56,328,1970
61,89,1970
62,85,1970
63,87,1970
64,96,1970
65,84,1970
71,88,1970
72,86,1970
73,89,1970
74,97,1970
75,95,1970
76,105,1970
80,203,1970
81,204,1970
82,205,1970
83,206,1970
84,105,1970
85,208,1970
86,176,1970
90,176,1970
91,166,1970
92,169,1970
93,167,1970
94,169,1970
95,173,1970
96,169,1970
100,174,1970
101,466,1970
102,154,1970
103,154,1970
104,154,1970
105,154,1970
110,154,1970
111,154,1970
112,154,1970
113,154,1970
114,154,1970
115,154,1970
116,154,1970
120,154,1970
121,154,1970
122,154,1970
123,154,1970
124,154,1970
125,154,1970
126,154,1970
130,154,1970
131,154,1970
132,154,1970
133,154,1970
134,154,1970
135,154,1970
140,154,1970
141,159,1970
142,156,1970
143,155,1970
144,157,1970
145,159,1970
150,223,1970
151,224,1970
152,217,1970
153,214,1970
154,214,1970
155,214,1970
156,225,1970
161,218,1970
162,214,1970
163,226,1970
164,227,1970
165,235,1970
170,226,1970
171,228,1970
172,233,1970
173,235,1970
174,163,1970
175,187,1970
180,199,1970
181,183,1970
182,193,1970
183,185,1970
184,195,1970
185,186,1970
190,188,1970
191,189,1970
192,13,1970
193,198,1970
194,194,1970
195,22,1970
196,59,1970
201,22,1970
202,7,1970
203,28,1970
205,29,1970
210,7,1970
211,19,1970
212,15,1970
213,35,1970
215,36,1970
216,18,1970
220,22,1970
221,829,1970
222,22,1970
223,22,1970
224,22,1970
225,33,1970
226,823,1970
230,22,1970
231,13,1970
233,13,1970
235,14,1970
240,14,1970
245,22,1970
246,22,1970
260,256,1970
261,274,1970
262,283,1970
264,277,1970
265,253,1970
266,277,1970
270,254,1970
271,255,1970
280,274,1970
281,274,1970
282,274,1970
283,275,1970
284,275,1970
285,274,1970
296,274,1970
301,383,1970
303,344,1970
305,337,1970
310,276,1970
311,389,1970
312,303,1970
313,378,1970
314,275,1970
315,359,1970
320,316,1970
321,376,1970
323,373,1970
325,335,1970
326,375,1970
330,329,1970
331,355,1970
332,346,1970
333,357,1970
334,366,1970
341,344,1970
342,344,1970
343,308,1970
344,347,1970
345,385,1970
350,308,1970
355,347,1970
360,338,1970
361,354,1970
362,384,1970
363,254,1970
364,319,1970
370,313,1970
371,313,1970
372,313,1970
374,364,1970
375,386,1970
376,313,1970
381,365,1970
