,O*NET-SOC 2000 Code,O*NET-SOC 2000 Title,O*NET-SOC 2006 Code,O*NET-SOC 2006 Title_x,O*NET-SOC 2006 Title_y,O*NET-SOC 2009 Code,O*NET-SOC 2009 Title_x,O*NET-SOC 2009 Title_y,O*NET-SOC 2010 Code,O*NET-SOC 2010 Title
0,11-1011.00,Chief Executives,11-1011.00,Chief Executives,Chief Executives,11-1011.00,Chief Executives,Chief Executives,11-1011.00,Chief Executives
1,11-1011.01,Government Service Executives,11-1011.00,Chief Executives,Chief Executives,11-1011.00,Chief Executives,Chief Executives,11-1011.00,Chief Executives
2,11-1011.02,Private Sector Executives,11-1011.00,Chief Executives,Chief Executives,11-1011.00,Chief Executives,Chief Executives,11-1011.00,Chief Executives
3,11-1021.00,General and Operations Managers,11-1021.00,General and Operations Managers,General and Operations Managers,11-1021.00,General and Operations Managers,General and Operations Managers,11-1021.00,General and Operations Managers
4,11-1031.00,Legislators,11-1031.00,Legislators,Legislators,11-1031.00,Legislators,Legislators,11-1031.00,Legislators
5,11-2011.00,Advertising and Promotions Managers,11-2011.00,Advertising and Promotions Managers,Advertising and Promotions Managers,11-2011.00,Advertising and Promotions Managers,Advertising and Promotions Managers,11-2011.00,Advertising and Promotions Managers
6,11-2021.00,Marketing Managers,11-2021.00,Marketing Managers,Marketing Managers,11-2021.00,Marketing Managers,Marketing Managers,11-2021.00,Marketing Managers
7,11-2022.00,Sales Managers,11-2022.00,Sales Managers,Sales Managers,11-2022.00,Sales Managers,Sales Managers,11-2022.00,Sales Managers
8,11-2031.00,Public Relations Managers,11-2031.00,Public Relations Managers,Public Relations Managers,11-2031.00,Public Relations Managers,Public Relations Managers,11-2031.00,Public Relations and Fundraising Managers
9,11-3011.00,Administrative Services Managers,11-3011.00,Administrative Services Managers,Administrative Services Managers,11-3011.00,Administrative Services Managers,Administrative Services Managers,11-3011.00,Administrative Services Managers
10,11-3021.00,Computer and Information Systems Managers,11-3021.00,Computer and Information Systems Managers,Computer and Information Systems Managers,11-3021.00,Computer and Information Systems Managers,Computer and Information Systems Managers,11-3021.00,Computer and Information Systems Managers
11,11-3031.00,Financial Managers,11-3031.00,Financial Managers,Financial Managers,11-3031.00,Financial Managers,Financial Managers,11-3031.00,Financial Managers
12,11-3031.01,"Treasurers, Controllers, and Chief Financial Officers",11-3031.01,Treasurers and Controllers,Treasurers and Controllers,11-3031.01,Treasurers and Controllers,Treasurers and Controllers,11-3031.01,Treasurers and Controllers
