onetsoc_code_8dig,onetsoc_title,onetsoc_desc,year,onetsoc_code,socAB
11-1011.00,Chief Executives,"Determine and formulate policies and provide the overall direction of companies or private and public sector organizations within the guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",2000,11-1011,0
11-1011.00,Chief Executives,"Determine and formulate policies and provide the overall direction of companies or private and public sector organizations within the guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",2006,11-1011,0
11-1011.00,Chief Executives,"Determine and formulate policies and provide the overall direction of companies or private and public sector organizations within the guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",2009,11-1011,0
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",2010,11-1011,0
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",2019,11-1011,0
11-1011.01,Government Service Executives,"Determine and formulate policies and provide overall direction of Federal, State, local, or international government activities. Plan, direct, and coordinate operational activities at the highest level of management with the help of subordinate managers.",2000,11-1011,0
11-1011.02,Private Sector Executives,"Determine and formulate policies and business strategies and provide overall direction of private sector organizations. Plan, direct, and coordinate operational activities at the highest level of management with the help of subordinate managers.",2000,11-1011,0
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",2009,11-1011,0
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",2010,11-1011,0
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",2019,11-1011,0
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of companies or public and private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Includes owners and managers who head small business establishments whose duties are primarily managerial.",2000,11-1021,1
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of companies or public and private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Includes owners and managers who head small business establishments whose duties are primarily managerial.",2006,11-1021,1
