,"O*NET-SOC 2000 Code, 6dig","O*NET-SOC 2006 Code, 6dig","O*NET-SOC 2000 Codes, 8dig","O*NET-SOC 2006 Codes, 8dig, Left","O*NET-SOC 2000 Titles, 8dig","O*NET-SOC 2006 Titles, 8dig, Left","O*NET-SOC 2009 Code, 6dig","O*NET-SOC 2006 Codes, 8dig, Right","O*NET-SOC 2009 Codes, 8dig, Left","O*NET-SOC 2006 Titles, 8dig, Right","O*NET-SOC 2009 Titles, 8dig, Left","O*NET-SOC 2010 Code, 6dig","O*NET-SOC 2009 Codes, 8dig, Right","O*NET-SOC 2010 Codes, 8dig, Left","O*NET-SOC 2009 Titles, 8dig, Right","O*NET-SOC 2010 Titles, 8dig, Left","O*NET-SOC 2019 Code, 6dig","O*NET-SOC 2010 Codes, 8dig, Right","O*NET-SOC 2019 Codes, 8dig, Left","O*NET-SOC 2010 Titles, 8dig, Right","O*NET-SOC 2019 Titles, 8dig, Left"
0,11-1011,11-1011,11-1011.00 AND 11-1011.01 AND 11-1011.02,11-1011.00,Chief Executives AND Government Service Executives AND Private Sector Executives,Chief Executives,11-1011,11-1011.00,11-1011.00,Chief Executives,Chief Executives,11-1011,11-1011.00 AND 11-1011.03,11-1011.00 AND 11-1011.03,Chief Executives AND Chief Sustainability Officers,Chief Executives AND Chief Sustainability Officers,11-1011,11-1011.00 AND 11-1011.03,11-1011.00 AND 11-1011.03,Chief Executives AND Chief Sustainability Officers,Chief Executives AND Chief Sustainability Officers
1,11-1021,11-1021,11-1021.00,11-1021.00,General and Operations Managers,General and Operations Managers,11-1021,11-1021.00,11-1021.00,General and Operations Managers,General and Operations Managers,11-1021,11-1021.00,11-1021.00,General and Operations Managers,General and Operations Managers,11-1021,11-1021.00,11-1021.00,General and Operations Managers,General and Operations Managers
2,11-1031,11-1031,11-1031.00,11-1031.00,Legislators,Legislators,11-1031,11-1031.00,11-1031.00,Legislators,Legislators,11-1031,11-1031.00,11-1031.00,Legislators,Legislators,11-1031,11-1031.00,11-1031.00,Legislators,Legislators
3,11-2011,11-2011,11-2011.00,11-2011.00,Advertising and Promotions Managers,Advertising and Promotions Managers,11-2011,11-2011.00,11-2011.00,Advertising and Promotions Managers,Advertising and Promotions Managers,11-2011,11-2011.00 AND 11-2011.01,11-2011.00 AND 11-2011.01,Advertising and Promotions Managers AND Green Marketers,Advertising and Promotions Managers AND Green Marketers,11-2011,11-2011.00 AND 11-2011.01,11-2011.00,Advertising and Promotions Managers AND Green Marketers,Advertising and Promotions Managers
4,11-2021,11-2021,11-2021.00,11-2021.00,Marketing Managers,Marketing Managers,11-2021,11-2021.00,11-2021.00,Marketing Managers,Marketing Managers,11-2021,11-2021.00,11-2021.00,Marketing Managers,Marketing Managers,11-2021,11-2021.00,11-2021.00,Marketing Managers,Marketing Managers
5,11-2022,11-2022,11-2022.00,11-2022.00,Sales Managers,Sales Managers,11-2022,11-2022.00,11-2022.00,Sales Managers,Sales Managers,11-2022,11-2022.00,11-2022.00,Sales Managers,Sales Managers,11-2022,11-2022.00,11-2022.00,Sales Managers,Sales Managers
6,11-2031,11-2031,11-2031.00,11-2031.00,Public Relations Managers,Public Relations Managers,11-2031,11-2031.00,11-2031.00,Public Relations Managers,Public Relations Managers,11-2031,11-2031.00,11-2031.00,Public Relations Managers,Public Relations and Fundraising Managers,11-2032,11-2031.00,11-2032.00,Public Relations and Fundraising Managers,Public Relations Managers
7,11-2031,11-2031,11-2031.00,11-2031.00,Public Relations Managers,Public Relations Managers,11-2031,11-2031.00,11-2031.00,Public Relations Managers,Public Relations Managers,11-2031,11-2031.00,11-2031.00,Public Relations Managers,Public Relations and Fundraising Managers,11-2033,11-2031.00,11-2033.00,Public Relations and Fundraising Managers,Fundraising Managers
8,11-3011,11-3011,11-3011.00,11-3011.00,Administrative Services Managers,Administrative Services Managers,11-3011,11-3011.00,11-3011.00,Administrative Services Managers,Administrative Services Managers,11-3011,11-3011.00,11-3011.00,Administrative Services Managers,Administrative Services Managers,11-3012,11-3011.00,11-3012.00,Administrative Services Managers,Administrative Services Managers
9,11-3011,11-3011,11-3011.00,11-3011.00,Administrative Services Managers,Administrative Services Managers,11-3011,11-3011.00,11-3011.00,Administrative Services Managers,Administrative Services Managers,11-3011,11-3011.00,11-3011.00,Administrative Services Managers,Administrative Services Managers,11-3013,11-3011.00,11-3013.00,Administrative Services Managers,Facilities Managers
10,11-3021,11-3021,11-3021.00,11-3021.00,Computer and Information Systems Managers,Computer and Information Systems Managers,11-3021,11-3021.00,11-3021.00,Computer and Information Systems Managers,Computer and Information Systems Managers,11-3021,11-3021.00,11-3021.00,Computer and Information Systems Managers,Computer and Information Systems Managers,11-3021,11-3021.00,11-3021.00,Computer and Information Systems Managers,Computer and Information Systems Managers
11,11-3031,11-3031,11-3031.00 AND 11-3031.01 AND 11-3031.02,11-3031.00 AND 11-3031.01 AND 11-3031.02,"Financial Managers AND Treasurers, Controllers, and Chief Financial Officers AND Financial Managers, Branch or Department","Financial Managers AND Treasurers and Controllers AND Financial Managers, Branch or Department",11-3031,11-3031.00 AND 11-3031.01 AND 11-3031.02,11-3031.00 AND 11-3031.01 AND 11-3031.02,"Financial Managers AND Treasurers and Controllers AND Financial Managers, Branch or Department","Financial Managers AND Treasurers and Controllers AND Financial Managers, Branch or Department",11-3031,11-3031.00 AND 11-3031.01 AND 11-3031.02,11-3031.00 AND 11-3031.01 AND 11-3031.02,"Financial Managers AND Treasurers and Controllers AND Financial Managers, Branch or Department","Financial Managers AND Treasurers and Controllers AND Financial Managers, Branch or Department",11-3031,11-3031.00 AND 11-3031.01 AND 11-3031.02,11-3031.00 AND 11-3031.01,"Financial Managers AND Treasurers and Controllers AND Financial Managers, Branch or Department",Financial Managers AND Treasurers and Controllers
12,11-3040,11-3040,11-3040.00,11-3040.00,Human Resources Managers,Human Resources Managers,11-3040,11-3040.00,11-3040.00,Human Resources Managers,Human Resources Managers,11-3121,11-3040.00,11-3121.00,Human Resources Managers,Human Resources Managers,11-3121,11-3121.00,11-3121.00,Human Resources Managers,Human Resources Managers
13,11-3049,11-3049,11-3049.99,11-3049.99,"Human Resources Managers, All Other","Human Resources Managers, All Other",11-3049,11-3049.99,11-3049.00,"Human Resources Managers, All Other","Human Resources Managers, All Other",11-3121,11-3049.00,11-3121.00,"Human Resources Managers, All Other",Human Resources Managers,11-3121,11-3121.00,11-3121.00,Human Resources Managers,Human Resources Managers
14,11-3041,11-3041,11-3041.00,11-3041.00,Compensation and Benefits Managers,Compensation and Benefits Managers,11-3041,11-3041.00,11-3041.00,Compensation and Benefits Managers,Compensation and Benefits Managers,11-3111,11-3041.00,11-3111.00,Compensation and Benefits Managers,Compensation and Benefits Managers,11-3111,11-3111.00,11-3111.00,Compensation and Benefits Managers,Compensation and Benefits Managers
15,11-3042,11-3042,11-3042.00,11-3042.00,Training and Development Managers,Training and Development Managers,11-3042,11-3042.00,11-3042.00,Training and Development Managers,Training and Development Managers,11-3131,11-3042.00,11-3131.00,Training and Development Managers,Training and Development Managers,11-3131,11-3131.00,11-3131.00,Training and Development Managers,Training and Development Managers
